t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
936500838,6467036,6478258,13977,5063,6149,104,232,4294967202,11106,7167,10794,62,537,63,14193,4294963966,8215,225,840,396,4294966722,4294966722,4294966722
936506838,6466507,6477923,13978,5077,6207,86,204,4294967173,11067,7064,10659,40,504,14,14273,4294963915,8180,298,825,324,4294966722,4294966722,4294966722
936512867,6466744,6478445,13960,5047,6168,61,133,4294967172,11100,7051,10741,5,494,4294967278,14275,4294963955,8190,255,854,336,4294966704,4294966704,4294966704
936518855,6466938,6478701,13982,5031,6140,89,98,4294967150,11045,7102,10688,4294967290,420,4294967286,14232,4294963931,8178,268,800,364,4294966717,4294966717,4294966717
936524852,6466258,6478297,13939,5034,6220,94,66,4294967150,11105,7157,10771,18,376,4294967281,14304,4294963959,8190,225,757,352,4294966713,4294966713,4294966713
936530853,6465298,6477803,14007,5082,6264,101,49,4294967133,11197,7204,10825,18,307,0,14283,4294963945,8156,173,712,398,4294966714,4294966714,4294966714
936536855,6465448,6477981,13949,5010,6272,119,24,4294967113,11161,7158,10947,25,229,20,14277,4294963974,8260,165,643,427,4294966711,4294966711,4294966711
936542839,6466455,6478434,13976,5032,6212,140,4294967291,4294967110,11174,7210,10964,84,139,64,14271,4294964041,8241,176,604,473,4294966721,4294966721,4294966721
936548835,6466409,6478026,13994,5118,6331,179,4294967235,4294967127,11200,7176,10947,148,138,81,14336,4294964105,8236,194,588,539,4294966726,4294966726,4294966726
936554843,6466896,6478005,13980,5093,6349,131,4294967140,4294967109,11167,7283,10855,188,102,186,14282,4294964190,8180,228,610,551,4294966723,4294966723,4294966723
936560844,6467125,6478157,14022,5118,6281,153,4294967054,4294967112,11206,7360,10820,251,141,285,14253,4294964191,8204,240,646,636,4294966717,4294966717,4294966717
936566855,6466580,6477654,14005,5100,6301,107,4294966984,4294967116,11202,7361,10746,296,195,339,14330,4294964161,8140,333,673,677,4294966714,4294966714,4294966714
936572832,6466767,6477846,14046,5154,6320,111,4294966926,4294967130,11180,7368,10777,271,238,361,14290,4294964109,8173,399,713,724,4294966727,4294966727,4294966727
936578836,6466798,6477965,14073,5151,6264,68,4294966893,4294967127,11119,7327,10712,136,254,379,14319,4294964138,8292,473,668,718,4294966726,4294966726,4294966726
936584841,6466041,6477586,14201,5204,6200,4294967290,4294966849,4294967130,11058,7324,10738,4294967286,283,372,14319,4294964067,8334,485,616,701,4294966721,4294966721,4294966721
936590853,6465455,6477280,14259,5171,6074,4294967252,4294966830,4294967138,10958,7244,10700,4294967170,272,308,14306,4294964081,8436,496,598,703,4294966714,4294966714,4294966714
936596842,6465423,6477102,14239,5172,6099,4294967192,4294966867,4294967156,10924,7307,10768,4294967117,301,179,14195,4294964098,8468,507,546,660,4294966723,4294966723,4294966723
936602854,6465146,6476856,14257,5234,6013,4294967171,4294966885,4294967161,10913,7160,10815,4294967139,287,174,14167,4294964124,8473,504,510,607,4294966712,4294966712,4294966712
936608855,6465081,6476651,14318,5220,5958,4294967200,4294966939,4294967181,10814,7054,10698,4294967276,304,100,14100,4294964263,8461,479,542,586,4294966714,4294966714,4294966714
936614847,6465085,6476669,14261,5199,6006,4294967212,4294967023,4294967230,10791,7000,10629,128,337,52,14071,4294964328,8375,428,654,620,4294966718,4294966718,4294966718
936620837,6465947,6476969,14260,5208,5972,4294967261,4294967084,4294967250,10681,6942,10602,326,416,18,13965,4294964380,8287,364,746,588,4294966722,4294966722,4294966722
936626859,6466154,6477050,14189,5189,6055,4294967256,4294967164,4294967274,10716,7027,10633,439,472,4294967283,13969,4294964347,8274,325,814,577,4294966709,4294966709,4294966709
936632851,6466197,6476900,14161,5138,6072,4294967261,4294967250,8,10586,7047,10630,615,536,4294967272,13893,4294964265,8431,473,842,566,4294966714,4294966714,4294966714
936638843,6466449,6477117,14094,5151,6063,4294967264,7,18,10513,7119,10573,731,553,4294967288,13878,4294964194,8476,674,755,563,4294966723,4294966723,4294966723
936644844,6465689,6477011,14017,5136,6027,4294967262,90,14,10526,7087,10515,770,614,4,13820,4294964105,8574,780,629,493,4294966719,4294966719,4294966719
936650840,6465582,6477618,13985,5111,6130,4294967195,132,4294967292,10533,7086,10485,715,658,46,13789,4294964105,8505,789,569,418,4294966724,4294966724,4294966724
936656860,6466154,6478263,13970,5080,6153,4294967170,141,4294967282,10602,6990,10618,772,652,23,13749,4294964007,8455,660,464,308,4294966707,4294966707,4294966707
936662837,6468065,6480103,13904,5115,6137,4294967140,143,4294967264,10646,6973,10797,753,552,63,13733,4294964033,8409,535,365,195,4294966726,4294966726,4294966726
936668859,6470760,6482274,13829,5139,6123,4294967098,140,4294967252,10700,6929,10617,836,516,38,13774,4294964024,8512,275,315,153,4294966711,4294966711,4294966711
936674845,6473120,6486814,13780,5148,6142,4294967087,124,4294967267,10757,6950,10612,934,489,35,13771,4294963983,8562,41,257,74,4294966722,4294966722,4294966722
936680859,6469586,6483051,13654,5216,6145,4294967087,114,1,10804,6917,10584,944,545,34,13758,4294964011,8453,4294967226,176,29,4294966709,4294966709,4294966709
936686846,6467539,6474842,13664,5247,6119,4294967110,95,22,10827,6903,10705,939,503,27,13814,4294963995,8410,4294967200,190,43,4294966718,4294966718,4294966718
936692860,6463852,6472294,13638,5269,6189,4294967111,44,65,10815,6833,10786,993,455,4,13718,4294964009,8518,4294967262,176,41,4294966707,4294966707,4294966707
936698857,6463203,6472750,13707,5311,6116,4294967125,4294967281,97,10867,6803,10829,1052,430,4294967295,13671,4294964122,8548,78,129,73,4294966713,4294966713,4294966713
