t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
1089534854,6462376,6471830,13962,5416,6345,44,4294966906,4294967092,11179,6813,10872,806,413,269,13722,4294963780,9010,532,204,402,4294966714,4294966714,4294966714
1089540862,6461846,6471393,13943,5495,6291,72,4294966887,4294967134,11187,6847,10885,738,447,222,13729,4294963770,9072,470,219,420,4294966705,4294966705,4294966705
1089546846,6461884,6471394,13927,5509,6271,103,4294966885,4294967169,11127,6836,10895,635,476,235,13727,4294963759,8999,452,214,406,4294966718,4294966718,4294966718
1089552849,6462462,6472027,13895,5490,6298,145,4294966856,4294967222,11195,6844,10833,595,486,238,13802,4294963715,9055,384,256,400,4294966713,4294966713,4294966713
1089558841,6462181,6471684,13898,5549,6235,174,4294966863,4294967251,11139,6850,10866,593,478,211,13768,4294963667,9062,388,277,383,4294966724,4294966724,4294966724
1089564849,6462813,6472005,13926,5554,6229,195,4294966858,4294967281,11096,6795,10921,614,516,175,13732,4294963688,9029,376,278,382,4294966719,4294966719,4294966719
1089570841,6462960,6472022,13877,5547,6220,193,4294966837,46,11081,6716,10978,602,516,107,13754,4294963707,9095,391,276,351,4294966724,4294966724,4294966724
1089576844,6462621,6472179,13877,5586,6111,162,4294966860,62,11079,6793,10849,592,532,1,13673,4294963665,9125,416,311,317,4294966722,4294966722,4294966722
1089582847,6462569,6472354,13919,5616,6122,144,4294966837,74,11089,6809,10708,557,608,4294967259,13668,4294963639,9093,453,301,275,4294966718,4294966718,4294966718
1089588833,6463307,6472477,13853,5586,6149,104,4294966836,68,11084,6861,10652,605,676,4294967219,13677,4294963644,9152,438,286,241,4294966725,4294966725,4294966725
1089594854,6463200,6472158,13870,5598,6135,44,4294966842,85,11096,6905,10695,637,688,4294967191,13642,4294963650,9067,429,277,200,4294966715,4294966715,4294966715
1089600848,6462659,6471890,13829,5529,6210,4294967284,4294966802,83,11093,6887,10776,573,663,4294967131,13624,4294963613,9199,418,241,179,4294966715,4294966715,4294966715
1089606840,6462864,6472122,13800,5578,6142,4294967252,4294966799,63,11129,6949,10873,501,560,4294967126,13572,4294963602,9163,402,211,139,4294966721,4294966721,4294966721
1089612847,6463157,6472375,13828,5541,6118,4294967225,4294966807,82,11131,6977,10893,503,456,4294967118,13508,4294963640,9162,415,135,119,4294966716,4294966716,4294966716
1089618851,6462644,6472237,13859,5496,6153,4294967182,4294966812,68,11156,6939,10933,443,332,4294967130,13559,4294963692,9094,375,97,121,4294966714,4294966714,4294966714
1089624845,6462148,6472711,13912,5504,6130,4294967176,4294966814,55,11219,6921,10902,373,255,4294967148,13585,4294963673,9122,310,100,123,4294966719,4294966719,4294966719
1089630843,6462971,6472996,13905,5538,6152,4294967182,4294966834,45,11189,6834,10852,318,237,4294967122,13526,4294963683,9113,272,94,136,4294966719,4294966719,4294966719
1089636849,6463871,6473036,13926,5506,6195,4294967208,4294966840,71,11168,6759,10744,345,271,4294967128,13553,4294963685,9193,264,52,159,4294966715,4294966715,4294966715
1089642837,6463134,6472766,13991,5429,6241,4294967203,4294966806,64,11126,6700,10721,396,358,4294967130,13600,4294963662,9181,280,50,176,4294966726,4294966726,4294966726
1089648838,6463249,6472734,13996,5403,6162,4294967222,4294966793,54,11128,6694,10622,473,445,4294967136,13595,4294963644,9117,347,10,206,4294966722,4294966722,4294966722
1089654852,6463168,6472797,13963,5373,6135,4294967231,4294966761,35,11133,6713,10616,546,527,4294967096,13615,4294963676,9059,393,31,192,4294966714,4294966714,4294966714
1089660852,6462744,6472690,14032,5324,6183,4294967210,4294966776,32,11198,6743,10547,594,563,4294967106,13649,4294963618,9044,436,69,216,4294966717,4294966717,4294966717
1089666847,6463008,6472697,14063,5328,6178,4294967190,4294966748,4294967278,11156,6790,10663,544,600,4294967090,13601,4294963606,9053,439,119,229,4294966715,4294966715,4294966715
1089672832,6463080,6472505,14033,5254,6140,4294967171,4294966758,4294967245,11242,6851,10606,510,590,4294967144,13568,4294963580,8977,399,175,252,4294966728,4294966728,4294966728
1089678858,6462768,6472380,14067,5221,6128,4294967170,4294966740,4294967192,11280,6835,10720,498,540,4294967159,13594,4294963626,8908,411,223,228,4294966714,4294966714,4294966714
1089684835,6462652,6472420,14037,5254,6057,4294967186,4294966757,4294967170,11301,6901,10679,458,486,4294967183,13574,4294963645,8994,378,247,237,4294966727,4294966727,4294966727
1089690847,6462822,6472237,13958,5224,6001,4294967190,4294966795,4294967130,11297,6904,10731,422,470,4294967204,13526,4294963635,8970,362,304,217,4294966719,4294966719,4294966719
1089696852,6462565,6471952,13986,5269,6076,4294967196,4294966842,4294967118,11232,6893,10845,450,386,4294967224,13514,4294963590,9097,338,340,211,4294966715,4294966715,4294966715
