t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
1255898844,6465601,6475529,15395,3599,3713,4294967295,4294967169,4294967207,12418,6536,9039,411,540,27,14889,4294963400,6391,88,312,306,4294966717,4294966717,4294966717
1255904850,6465311,6475445,15391,3651,3648,4294967285,4294967189,4294967233,12459,6564,9071,283,617,20,14874,4294963323,6478,120,283,246,4294966716,4294966716,4294966716
1255910844,6465241,6475701,15375,3608,3682,16,4294967205,4294967238,12460,6537,9090,229,647,4294967271,14935,4294963322,6427,94,269,237,4294966719,4294966719,4294966719
1255916848,6465669,6475857,15414,3648,3670,47,4294967198,4294967254,12477,6636,9063,258,633,4294967252,14949,4294963268,6486,90,273,236,4294966717,4294966717,4294966717
1255922845,6465498,6475754,15384,3645,3713,29,4294967214,4294967250,12543,6666,9127,289,589,4294967236,14931,4294963275,6512,117,257,201,4294966721,4294966721,4294966721
1255928846,6465158,6475902,15401,3621,3546,41,4294967255,4294967274,12577,6643,9191,225,532,4294967236,14922,4294963276,6402,93,287,194,4294966719,4294966719,4294966719
1255934857,6465277,6476394,15433,3582,3617,7,1,4294967244,12575,6647,9176,234,500,4294967253,14953,4294963273,6459,136,255,219,4294966712,4294966712,4294966712
1255940845,6465855,6476908,15391,3553,3589,8,47,4294967260,12596,6616,9292,276,478,4294967216,15021,4294963287,6384,48,268,217,4294966716,4294966716,4294966716
1255946835,6466740,6478020,15398,3581,3642,4294967248,52,4294967259,12606,6671,9274,226,420,4294967232,14993,4294963270,6489,57,292,186,4294966724,4294966724,4294966724
1255952840,6469439,6480346,15406,3539,3629,4294967214,52,4294967246,12630,6667,9314,174,351,4294967216,15031,4294963289,6489,98,279,174,4294966721,4294966721,4294966721
1255958850,6471526,6484241,15429,3605,3628,4294967186,63,4294967230,12640,6645,9356,147,329,4294967211,15065,4294963293,6490,177,270,219,4294966714,4294966714,4294966714
1255964845,6468462,6480798,15500,3534,3636,4294967174,50,4294967207,12642,6638,9247,110,297,4294967212,15112,4294963312,6480,230,270,251,4294966720,4294966720,4294966720
1255970863,6464729,6472872,15440,3496,3629,4294967187,26,4294967192,12607,6609,9185,101,260,4294967198,15071,4294963307,6513,363,279,236,4294966702,4294966702,4294966702
1255976844,6462864,6469047,15369,3478,3872,4294967160,4294967294,4294967175,12763,6706,9261,38,273,4294967276,15037,4294963283,6588,318,302,271,4294966722,4294966722,4294966722
1255982847,6461302,6469836,15426,3476,3815,4294967126,4294967247,4294967150,12525,6542,9355,172,238,4294967279,14916,4294963272,6543,351,304,288,4294966714,4294966714,4294966714
1255988865,6461097,6471261,15476,3474,3753,4294967102,4294967170,4294967142,12538,6533,9448,139,224,4294967273,15009,4294963331,6544,286,364,316,4294966709,4294966709,4294966709
1255994844,6462922,6472636,15544,3462,3705,4294967117,4294967089,4294967135,12502,6452,9296,199,268,4294967264,15081,4294963459,6527,238,422,335,4294966720,4294966720,4294966720
