t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
52912948,6461370,6473614,15405,3632,3661,4294967016,38,4294967027,11912,7120,9445,111,102,105,15304,4294963973,6113,508,186,413,4294966721,4294966721,4294966721
52918955,6462638,6473873,15464,3652,3474,4294967074,4294967126,4294967078,11885,7042,9271,97,108,34,15227,4294964011,6160,656,89,357,4294966713,4294966713,4294966713
52924949,6462107,6473679,15484,3702,3414,4294967153,4294966964,4294967152,11900,6957,8968,95,177,4294967266,15115,4294963932,6210,823,4294967288,301,4294966718,4294966718,4294966718
52930943,6461352,6473834,15539,3724,3312,4294967224,4294966861,4294967221,11924,6906,8879,114,279,4294967180,15121,4294963903,6171,891,4294967199,311,4294966724,4294966724,4294966724
52936937,6461955,6473938,15526,3653,3163,4294967283,4294966867,4294967245,11981,6825,8999,132,405,4294967110,15205,4294963905,6102,701,4294967166,295,4294966728,4294966728,4294966728
52942962,6462134,6473814,15536,3684,2983,35,4294966985,4294967213,11970,6855,9162,249,463,4294967023,15186,4294963829,6142,558,4294967176,247,4294966710,4294966710,4294966710
52948949,6461446,6473804,15466,3628,2945,17,4294967226,4294967178,11889,6962,9414,355,500,4294966960,15209,4294963815,6161,423,4294967158,199,4294966722,4294966722,4294966722
52954951,6461683,6474232,15463,3593,2903,4294967259,181,4294967110,11936,6985,9443,553,487,4294966912,15180,4294963885,6004,280,4294967079,203,4294966718,4294966718,4294966718
52960952,6462513,6474822,15407,3528,3026,4294967279,471,4294967071,11939,7062,9524,778,437,4294966898,15210,4294963863,5975,187,4294967043,159,4294966721,4294966721,4294966721
52966949,6462668,6474896,15317,3696,3090,4294967193,736,4294967034,11931,7100,9462,921,422,4294966898,15228,4294963930,5976,177,4294967084,113,4294966720,4294966720,4294966720
52972962,6462286,6475177,15286,3662,3193,4294967164,852,4294967034,12003,7206,9406,1087,414,4294966945,15311,4294963950,5742,211,4294967141,91,4294966709,4294966709,4294966709
52978945,6463462,6475582,15217,3754,3346,4294967096,897,4294967073,11996,7245,9214,1212,493,4294966997,15338,4294963906,5712,293,4294967250,130,4294966721,4294966721,4294966721
