t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
525278946,6471805,6478261,16298,4294966787,4294966220,4294966571,4294967088,4294967209,13891,6940,6518,69,338,7,16218,4294963075,1820,4294967132,256,286,4294966722,4294966722,4294966722
525284939,6471356,6477838,16331,4294966875,4294966178,4294966574,4294966968,4294967212,13909,6995,6494,4294967270,285,29,16163,4294963027,2101,4294967241,209,202,4294966727,4294966727,4294966727
525292944,6471305,6477706,16336,4294967038,4294965968,4294966744,4294966817,4294967229,13867,6992,6344,4294967087,169,57,16102,4294962998,2263,323,1,81,4294966723,4294966723,4294966723
525298941,6472648,6479446,16315,4294967076,4294965759,4294967003,4294966756,7,13923,6980,6220,4294966946,75,63,15993,4294963092,2278,567,4294967161,24,4294966727,4294966727,4294966727
525304955,6471650,6478389,16318,4294967148,4294965561,4294967285,4294966754,110,13932,6943,6128,4294966842,4294967238,20,15859,4294963133,2178,647,4294967111,10,4294966715,4294966715,4294966715
525312946,6471432,6478088,16298,4294967129,4294965119,179,4294966878,223,13957,6814,6001,4294966834,4294967200,30,15812,4294963152,2093,442,4294967142,53,4294966721,4294966721,4294966721
525318956,6472856,6479723,16298,4294966972,4294965020,263,4294967113,259,13990,6783,6027,4294966883,4294967222,34,15880,4294963084,2132,194,4294967180,164,4294966716,4294966716,4294966716
525324960,6472134,6478755,16244,4294966812,4294965011,232,117,240,13883,6713,6182,4294967044,4294967233,2,16004,4294963021,2177,16,4294967179,191,4294966712,4294966712,4294966712
525330943,6472364,6479135,16132,4294966700,4294965081,42,389,174,13805,6645,6234,4294967178,4294967250,4294967266,16097,4294962991,2290,4294967228,4294967116,185,4294966725,4294966725,4294966725
525338947,6472920,6479738,15988,4294966532,4294965311,4294967034,576,96,13826,6711,6387,143,4294967293,4294967196,16183,4294963095,2189,4294967278,4294967008,205,4294966722,4294966722,4294966722
525346946,6471856,6478804,15942,4294966415,4294965468,4294966759,455,58,13713,6730,6355,366,56,4294967170,16250,4294963251,2053,60,4294966959,195,4294966723,4294966723,4294966723
525352954,6472824,6479974,15954,4294966434,4294965631,4294966680,234,35,13729,6877,6176,515,122,4294967184,16242,4294963289,1952,250,4294967019,200,4294966717,4294966717,4294966717
525358952,6473167,6480330,16007,4294966496,4294965801,4294966760,4294967182,32,13715,6961,6222,611,219,4294967205,16240,4294963236,1808,325,4294967110,207,4294966718,4294966718,4294966718
525364951,6473281,6480387,16070,4294966665,4294965900,4294966997,4294966848,42,13794,7001,6133,690,329,4294967251,16330,4294963279,1551,398,12,280,4294966718,4294966718,4294966718
525370950,6472936,6479755,16090,4294966851,4294965921,4,4294966557,61,13696,7056,6125,768,432,4294967262,16339,4294963234,1645,384,188,293,4294966717,4294966717,4294966717
525376959,6474074,6481187,16208,4294967037,4294965841,256,4294966380,122,13742,7090,6078,814,544,4294967261,16286,4294963173,1663,358,304,312,4294966713,4294966713,4294966713
525382960,6473958,6481266,16296,4294967200,4294965708,385,4294966284,207,13809,7121,6106,697,619,4294967227,16334,4294963062,1738,368,360,312,4294966714,4294966714,4294966714
525388947,6472967,6480132,16334,40,4294965607,381,4294966339,262,13983,7212,6109,571,620,4294967256,16367,4294963001,1844,428,386,300,4294966719,4294966719,4294966719
525394956,6473845,6480746,16474,31,4294965486,322,4294966499,291,13959,7152,6145,442,529,4294967258,16259,4294962999,1793,478,380,290,4294966716,4294966716,4294966716
525400940,6474330,6481348,16481,33,4294965459,222,4294966699,292,13926,7109,6185,297,352,4294967221,16267,4294963064,1721,510,402,278,4294966725,4294966725,4294966725
525406950,6473379,6480375,16534,0,4294965442,157,4294966906,291,14037,7040,6235,74,256,4294967207,16217,4294963100,1709,489,437,254,4294966717,4294966717,4294966717
525412942,6473317,6480190,16425,4294967195,4294965407,41,4294967026,269,14027,7049,6262,4294967243,243,4294967235,16215,4294963225,1659,442,503,228,4294966726,4294966726,4294966726
525418949,6473828,6480492,16438,4294967119,4294965518,4294967221,4294967100,251,13965,7029,6302,4294967221,177,4294967237,16162,4294963248,1681,337,471,219,4294966720,4294966720,4294966720
525424952,6472742,6479234,16426,4294967101,4294965553,4294967105,4294967116,230,13834,6955,6232,4294967182,185,4294967236,16208,4294963211,1656,272,477,213,4294966720,4294966720,4294966720
525430948,6472442,6479036,16385,4294967044,4294965666,4294967027,4294967088,181,13838,6957,6341,4294967195,196,4294967255,16197,4294963239,1852,198,440,171,4294966720,4294966720,4294966720
525436963,6472897,6479641,16378,4294967035,4294965684,4294966961,4294967042,133,13784,6949,6328,4294967230,249,4294967229,16192,4294963184,1822,163,447,133,4294966711,4294966711,4294966711
525442943,6472941,6479844,16365,4294967082,4294965629,4294966926,4294967016,99,13782,6929,6304,27,288,4294967190,16181,4294963133,1793,230,422,111,4294966723,4294966723,4294966723
525448950,6471951,6478263,16323,4294967048,4294965604,4294966916,4294967026,56,13766,6962,6319,69,357,4294967174,16185,4294963196,1866,292,377,74,4294966718,4294966718,4294966718
525454967,6471843,6478138,16249,4294967032,4294965444,4294966865,4294967038,21,13757,6976,6176,52,439,4294967163,16207,4294963185,1808,331,314,28,4294966711,4294966711,4294966711
525460950,6472459,6478772,16167,4294966981,4294965468,4294966849,4294967088,4294967282,13743,6975,6133,7,478,4294967167,16203,4294963211,1851,369,257,3,4294966722,4294966722,4294966722
525466951,6471325,6477649,16148,4294966932,4294965546,4294966796,4294967101,4294967275,13767,6948,6250,4294967234,507,4294967151,16170,4294963162,1856,391,214,4294967274,4294966718,4294966718,4294966718
525474946,6470971,6477093,16194,4294966976,4294965598,4294966714,4294967042,4294967273,13759,6956,6212,4294967165,543,4294967142,16152,4294963176,2100,285,201,4294967257,4294966719,4294966719,4294966719
525482950,6471507,6477353,16243,4294966920,4294965597,4294966705,4294966977,32,13777,6977,6125,4294967158,641,4294967140,16199,4294963086,2010,283,138,4294967198,4294966717,4294966717,4294966717
