t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
721618963,6467582,6494807,13439,5760,7208,4294967215,4294966621,7,11403,5534,11309,118,263,62,14389,4294964167,7967,402,389,268,4294966710,4294966710,4294966710
721624951,6466799,6494056,13391,5693,7241,4294967230,4294966689,4294967279,11465,5575,11266,133,271,107,14442,4294964185,8055,361,362,270,4294966719,4294966719,4294966719
721630947,6466433,6493558,13354,5730,7167,4294967290,4294966754,4294967262,11422,5519,11325,148,291,112,14381,4294964179,8062,342,291,230,4294966722,4294966722,4294966722
721636944,6466542,6493974,13342,5717,7143,4294967275,4294966830,4294967252,11431,5522,11287,180,286,113,14427,4294964173,8197,370,201,236,4294966723,4294966723,4294966723
721642945,6467376,6494703,13292,5687,7188,29,4294966906,4294967238,11356,5506,11307,202,302,117,14324,4294964108,8316,482,115,170,4294966722,4294966722,4294966722
721648943,6467090,6493925,13301,5697,7199,35,4294966917,4294967247,11337,5425,11311,217,321,108,14326,4294964152,8397,578,55,158,4294966723,4294966723,4294966723
721654952,6467084,6494261,13222,5667,7221,83,4294966896,4294967250,11329,5478,11333,191,377,66,14248,4294964179,8307,673,26,146,4294966719,4294966719,4294966719
721660962,6467657,6494809,13252,5665,7173,51,4294966845,4294967262,11304,5481,11300,156,410,77,14279,4294964192,8230,768,25,134,4294966711,4294966711,4294966711
721666951,6466743,6494164,13252,5641,7178,64,4294966780,4294967221,11286,5459,11265,127,464,71,14293,4294964205,8214,858,47,185,4294966717,4294966717,4294966717
721672963,6466446,6493567,13189,5654,7188,65,4294966691,4294967202,11244,5493,11343,142,468,56,14266,4294964284,8168,990,107,202,4294966710,4294966710,4294966710
721678978,6467407,6494620,13154,5563,7189,75,4294966635,4294967196,11287,5425,11354,141,440,49,14282,4294964250,8169,1085,109,201,4294966704,4294966704,4294966704
721684949,6467201,6494272,13202,5633,7118,80,4294966583,4294967190,11261,5487,11405,164,426,54,14292,4294964275,8043,1205,114,214,4294966723,4294966723,4294966723
721690951,6466318,6493079,13187,5640,7077,35,4294966564,4294967185,11230,5467,11388,134,398,72,14309,4294964312,8038,1346,87,231,4294966716,4294966716,4294966716
721696948,6466592,6493802,13212,5640,7127,47,4294966564,4294967190,11235,5525,11335,163,384,66,14385,4294964395,8090,1406,27,259,4294966720,4294966720,4294966720
721702961,6466587,6493430,13218,5666,7068,48,4294966545,4294967188,11221,5444,11366,163,360,92,14359,4294964389,8233,1418,4294967234,321,4294966714,4294966714,4294966714
721708934,6465892,6492747,13220,5733,7105,18,4294966595,4294967203,11223,5516,11368,202,359,71,14417,4294964395,8252,1418,4294967140,348,4294966731,4294966731,4294966731
721714960,6465788,6492511,13287,5776,7125,65,4294966617,4294967228,11170,5546,11347,215,355,90,14428,4294964404,8014,1335,4294967106,360,4294966712,4294966712,4294966712
721720963,6466780,6493153,13257,5766,7134,78,4294966643,4294967253,11197,5530,11318,262,378,83,14449,4294964378,7953,1286,4294967101,376,4294966711,4294966711,4294966711
721726960,6466382,6492807,13319,5857,7052,78,4294966676,4294967278,11188,5568,11290,285,405,78,14346,4294964384,8021,1244,4294967020,407,4294966716,4294966716,4294966716
721732946,6466398,6492741,13307,5877,7002,95,4294966733,4294967294,11181,5581,11322,360,396,93,14315,4294964346,7973,1245,4294966945,375,4294966725,4294966725,4294966725
721738963,6466614,6493175,13380,5897,7063,92,4294966757,6,11174,5600,11387,366,396,43,14355,4294964355,8074,1254,4294966916,363,4294966711,4294966711,4294966711
721744942,6466213,6492837,13424,5874,7047,67,4294966815,43,11221,5585,11325,411,351,24,14369,4294964349,7992,1242,4294966888,278,4294966723,4294966723,4294966723
721750959,6466239,6492570,13415,5847,7155,51,4294966843,52,11236,5635,11405,497,266,0,14330,4294964379,8135,1152,4294966882,251,4294966712,4294966712,4294966712
721756953,6467221,6493396,13432,5830,7000,36,4294966860,57,11246,5592,11332,438,300,4294967290,14226,4294964343,8077,1101,4294966871,170,4294966721,4294966721,4294966721
